experiment,kind,n_cells,n_frames,freq,M,dev_at_half,dev_sd,p_below_01
engert_20220221_magnet,real,1333,1194,0.4,72,-0.0019435979726576402,0.0,0.012003000750187547
engert_20220221_magnet,phase_only,1333,1194,0.4,72,-0.0019434408600671842,2.0934567363581007e-16,0.012003000750187549
engert_20220221_magnet,gaussian_psd,1333,1194,0.4,72,-0.13863350569054986,0.0023594568721915323,0.03525881470367592
engert_20220221_magnet,gaussian_white,1333,1194,0.4,72,-0.0015685004300249235,0.008282055818218056,0.011502875718929733
engert_20220221_visualmagnet,real,1337,1194,0.4,72,0.0005497008577558526,0.0,0.005983545250560957
engert_20220221_visualmagnet,phase_only,1337,1194,0.4,72,0.0005497771553586439,1.2819751242557092e-16,0.005983545250560957
engert_20220221_visualmagnet,gaussian_psd,1337,1194,0.4,72,-0.13314027612024074,0.0160035435244577,0.03527798553976565
engert_20220221_visualmagnet,gaussian_white,1337,1194,0.4,72,0.004650549094111768,0.019109519489213495,0.010346546995761657
engert_20220223_magnet,real,117,1194,0.4,72,-0.033620888638838164,0.0,0.0
engert_20220223_magnet,phase_only,117,1194,0.4,72,-0.03362076205639706,3.101874435536449e-16,0.0
engert_20220223_magnet,gaussian_psd,117,1194,0.4,72,-0.16689220326629725,0.025407358706136453,0.034188034188034185
engert_20220223_magnet,gaussian_white,117,1194,0.4,72,0.042658605029755,0.021554464632101887,0.011396011396011397
engert_20220223_visualmagnet,real,117,1194,0.4,72,0.07885634204901881,0.0,0.017094017094017096
engert_20220223_visualmagnet,phase_only,117,1194,0.4,72,0.07885635137849716,1.5265566588595902e-16,0.017094017094017092
engert_20220223_visualmagnet,gaussian_psd,117,1194,0.4,72,-0.1056329814303994,0.03188290255248945,0.039886039886039885
engert_20220223_visualmagnet,gaussian_white,117,1194,0.4,72,0.036978602603721815,0.04167689881094058,0.005698005698005698
engert_20220301_visualmagnet_a,real,1350,2936,0.4,180,0.02677917524023088,0.0,0.012592592592592593
engert_20220301_visualmagnet_a,phase_only,1350,2936,0.4,180,0.026779541514656963,2.4548227123168475e-16,0.012592592592592594
engert_20220301_visualmagnet_a,gaussian_psd,1350,2936,0.4,180,-0.10904276052593838,0.005969785178948137,0.04567901234567901
engert_20220301_visualmagnet_a,gaussian_white,1350,2936,0.4,180,0.008682167398395687,0.008328968909314581,0.009382716049382716
engert_20220301_visualmagnet_b,real,1348,2936,0.4,180,0.06635170928434175,0.0,0.02225519287833828
