n_units,n_spikes,seed,dev_at_half,p_below_01
4000,50,0,-0.002393812737805423,0.00925
4000,50,1,-0.0038814857201613373,0.0095
4000,50,2,0.014119031752461875,0.008
4000,50,3,0.002317750858907397,0.0085
4000,50,4,0.013134937260952495,0.00975
4000,50,5,0.004718409386578304,0.01225
4000,50,6,0.009161626341136264,0.0085
4000,50,7,0.00699568843418219,0.00775
4000,50,8,-0.0021209482269279323,0.0105
4000,50,9,0.008051367648261976,0.00875
4000,50,10,0.0047758956243000306,0.01175
4000,50,11,0.000827960414465756,0.01375
4000,75,0,0.004549751709013949,0.00725
4000,75,1,0.008649611315817873,0.009
4000,75,2,0.0010375721670129456,0.01175
4000,75,3,0.013590168771614786,0.0095
4000,75,4,0.014848773324404263,0.009
4000,75,5,0.015008591947610506,0.00925
4000,75,6,0.0063471327174950964,0.011
4000,75,7,0.0013239192314589143,0.0095
4000,75,8,0.011865491908025216,0.00775
4000,75,9,0.028388005584516818,0.00875
4000,75,10,0.02270382019270234,0.009
4000,75,11,0.006426530453413237,0.00975
4000,100,0,0.009043509594320764,0.01325
4000,100,1,0.007006807081673672,0.00825
4000,100,2,0.009534203552481024,0.00925
4000,100,3,0.003211219157822076,0.01175
4000,100,4,-0.0013901391859544865,0.00825
4000,100,5,0.006761806069079612,0.01025
4000,100,6,0.010039445715333994,0.008
4000,100,7,0.0036624915579366313,0.00875
4000,100,8,0.0003199513512014418,0.008
4000,100,9,0.02586413370908769,0.0125
4000,100,10,-0.004426845517716549,0.0095
4000,100,11,0.010398009452222023,0.00575
4000,150,0,0.012178520039127227,0.0115
4000,150,1,0.0016412112821870828,0.009
4000,150,2,0.013065710335825487,0.00775
4000,150,3,-0.005037035566737846,0.0125
4000,150,4,0.02003251488336244,0.00975
4000,150,5,0.008487462035836502,0.011
4000,150,6,0.0012597498459268053,0.00825
4000,150,7,0.008266393325250143,0.01275
4000,150,8,0.0108527126138942,0.012
4000,150,9,0.013451987521758801,0.0105
4000,150,10,0.005365185764455549,0.011
4000,150,11,-0.0032901123931449727,0.0095
4000,250,0,-0.0005923420683698333,0.013
4000,250,1,-0.002207409870028154,0.01225
4000,250,2,0.01471381874758293,0.00875
4000,250,3,-0.0031527453819363283,0.01075
4000,250,4,0.008515519091880419,0.01175
4000,250,5,0.00826967437297188,0.01325
4000,250,6,0.001019074332309633,0.01175
4000,250,7,0.007798987359857956,0.00875
4000,250,8,0.007770649358162296,0.00875
4000,250,9,0.00456533983156715,0.00875
4000,250,10,0.005572496459997467,0.009
4000,250,11,0.012377084528801818,0.01175
4000,500,0,-0.011862618923826451,0.008
4000,500,1,0.004024223866801346,0.01075
4000,500,2,-0.0035364124348474246,0.00925
4000,500,3,0.008923571165820432,0.01275
4000,500,4,0.015519175872680258,0.0065
4000,500,5,0.004513594742829308,0.014
4000,500,6,0.007044056296842571,0.0115
4000,500,7,0.007559167169086889,0.0115
4000,500,8,0.012880246688813268,0.01075
4000,500,9,0.020106560180102373,0.013
4000,500,10,0.0067900777158705905,0.00975
4000,500,11,0.005995083747615149,0.0145
4000,1000,0,0.0034476182581181236,0.011
4000,1000,1,-0.008954924577864842,0.0105
4000,1000,2,0.013214047085355118,0.01125
4000,1000,3,0.007074550193169937,0.0115
4000,1000,4,-0.00023200564786696187,0.008
4000,1000,5,-0.004723529528425863,0.00825
4000,1000,6,0.013016061419448999,0.009
4000,1000,7,0.0041436394916710695,0.01
4000,1000,8,0.0033128148903327492,0.01175
4000,1000,9,-0.011237538229527111,0.00775
4000,1000,10,0.005519797487524403,0.012
4000,1000,11,0.004524281739022307,0.008
4000,2000,0,0.0050148416278432695,0.0125
4000,2000,1,0.004475200112016964,0.01125
4000,2000,2,0.01446650242017855,0.01125
4000,2000,3,0.01381471622010455,0.01125
4000,2000,4,-6.591156631496897e-05,0.008
4000,2000,5,-0.004316327766243522,0.011
4000,2000,6,0.0035776357869807818,0.00875
4000,2000,7,-0.0027643694829811993,0.01
4000,2000,8,0.002465055054811316,0.0105
4000,2000,9,0.0074198723972614955,0.01
4000,2000,10,0.007349884483815683,0.0125
4000,2000,11,-0.0064734115812767334,0.012
4000,4000,0,0.009346279385059941,0.01025
4000,4000,1,-0.017136677881865958,0.00875
4000,4000,2,0.002384284173164386,0.00925
4000,4000,3,-0.008570686102454095,0.01025
4000,4000,4,0.005697710136648659,0.00875
4000,4000,5,-0.012069050904847334,0.01
4000,4000,6,0.0036611965822526127,0.00775
4000,4000,7,-0.004566752606174063,0.00975
4000,4000,8,-0.00823052708446681,0.01025
4000,4000,9,-0.012414157157908445,0.00825
4000,4000,10,0.010281689940813687,0.01275
4000,4000,11,-0.0024328631909849574,0.013
