n_units,n_spikes,seed,dev_at_half,p_below_01
100,150,0,-0.03223535200732691,0.03
100,150,1,-0.02895271402786581,0.0
100,150,2,-0.07842144652348498,0.0
100,150,3,0.04986017731370607,0.01
100,150,4,0.015593936518987439,0.0
100,150,5,-0.008205484996871126,0.01
100,150,6,-0.006418929855331101,0.0
100,150,7,0.016528954913057503,0.02
100,150,8,-0.04975965584746217,0.01
100,150,9,-0.06366043509188962,0.01
100,150,10,0.07803970820483275,0.0
100,150,11,-0.0478157181800834,0.02
100,150,12,0.07064047779214866,0.01
100,150,13,-0.014725990642748599,0.04
100,150,14,-0.023419722900427542,0.03
100,150,15,-0.005564283875909792,0.01
100,150,16,0.04515654723994422,0.02
100,150,17,0.0024119741075279144,0.01
100,150,18,0.08215886809910189,0.02
100,150,19,0.012413109210805406,0.02
100,150,20,0.006899894413061158,0.02
100,150,21,0.07059439772103893,0.0
100,150,22,-0.05790557098824728,0.0
100,150,23,-0.006798209373731656,0.02
250,150,0,0.050605684660993355,0.008
250,150,1,0.007910995085682826,0.004
250,150,2,0.006544075285128126,0.012
250,150,3,0.002711018346764016,0.012
250,150,4,0.005631264092373023,0.012
250,150,5,-0.012622233624163481,0.016
250,150,6,-0.10886483417753667,0.012
250,150,7,0.02547079446964684,0.012
250,150,8,0.016273142784716366,0.024
250,150,9,0.005860652346513229,0.012
250,150,10,-0.0020014390848278607,0.004
250,150,11,0.012043277812863629,0.0
250,150,12,0.061797789786063095,0.012
250,150,13,-0.03115910996890442,0.012
250,150,14,-0.07514227472712182,0.012
250,150,15,0.03183345509318003,0.012
250,150,16,-0.029792652571926925,0.008
250,150,17,0.03250402842777533,0.0
250,150,18,-0.0494301958881736,0.012
250,150,19,0.0371277301856644,0.012
250,150,20,-0.010900406858614042,0.008
250,150,21,0.0531214014010456,0.008
250,150,22,0.07013342974271841,0.004
250,150,23,-0.024669534490417866,0.008
500,150,0,0.012750835191883136,0.012
500,150,1,-0.020828649317990666,0.012
500,150,2,0.004457626518747482,0.012
500,150,3,-0.046837571971740155,0.014
500,150,4,0.008380098425325166,0.012
500,150,5,0.008798395134068437,0.016
500,150,6,0.017349546435391883,0.01
500,150,7,0.023262293657776323,0.016
500,150,8,-0.018929673531036584,0.01
500,150,9,0.027423599911845176,0.016
500,150,10,0.027339459432724866,0.008
500,150,11,0.02337054464309196,0.002
500,150,12,0.012877927377525134,0.016
500,150,13,0.01612378229332867,0.01
500,150,14,-0.021300398086941952,0.012
500,150,15,-0.0008619728510693703,0.008
500,150,16,0.00451310202464672,0.004
500,150,17,-0.0014353271703112513,0.006
500,150,18,-0.001223631136637593,0.01
500,150,19,0.028516014887054797,0.008
500,150,20,-0.026937813132484334,0.008
500,150,21,0.016443373342343248,0.008
500,150,22,0.04442293083864657,0.01
500,150,23,-0.009691965675608483,0.01
1000,150,0,0.0016323683279310108,0.011
1000,150,1,0.015025288825333605,0.01
1000,150,2,0.009090621247171637,0.01
1000,150,3,0.009680922040212092,0.011
1000,150,4,-0.003606205595345746,0.01
1000,150,5,-0.01155670950754939,0.008
1000,150,6,-0.0027571450008165854,0.011
1000,150,7,0.007289470849357604,0.008
1000,150,8,0.016519003149696676,0.01
1000,150,9,0.00426727443953312,0.01
1000,150,10,0.02831785672363918,0.004
1000,150,11,-0.01279530390379413,0.011
1000,150,12,0.012308529423393999,0.012
1000,150,13,0.03444255358983239,0.016
1000,150,14,0.010853583392767874,0.007
1000,150,15,0.026291952021916365,0.008
1000,150,16,-0.015635625224317384,0.009
1000,150,17,0.0020617612693364373,0.007
1000,150,18,0.019431543021704245,0.013
1000,150,19,-0.019715123509617793,0.013
1000,150,20,0.013031869414616648,0.007
1000,150,21,0.01053409629262192,0.008
1000,150,22,4.5599076236690905e-05,0.01
1000,150,23,-0.017537607410926137,0.013
2000,150,0,-0.00045087147440064923,0.016
2000,150,1,0.014899776521009267,0.0065
2000,150,2,0.000986928746445348,0.008
2000,150,3,0.021831396771769263,0.008
2000,150,4,0.008153053458698323,0.0075
2000,150,5,0.01236901663819634,0.009
2000,150,6,-0.02602552201918429,0.01
2000,150,7,0.009228337295762445,0.0125
2000,150,8,-0.00290325421558818,0.01
2000,150,9,0.003945553060349494,0.013
2000,150,10,0.010160110364827224,0.0125
2000,150,11,0.000294201021181828,0.0105
2000,150,12,-0.011629899282275258,0.0095
2000,150,13,-0.0004524852288885217,0.0085
2000,150,14,-0.0017420848989727622,0.014
2000,150,15,-0.017929571655884602,0.0095
2000,150,16,0.0077312661277954,0.012
2000,150,17,0.002625699928763159,0.009
2000,150,18,0.007337754020427356,0.0125
2000,150,19,0.02410814781289561,0.01
2000,150,20,-0.00215503615305751,0.0105
2000,150,21,0.0001814445592099312,0.0125
2000,150,22,0.028249755898101525,0.0095
2000,150,23,-0.0063500101760825545,0.0085
3000,150,0,0.014561815628722052,0.015
3000,150,1,0.004573983990385555,0.012666666666666666
3000,150,2,0.00524023134517948,0.012666666666666666
3000,150,3,0.010669359970406744,0.011333333333333334
3000,150,4,0.00252631958832239,0.010666666666666666
3000,150,5,0.009409067593399434,0.007666666666666666
3000,150,6,0.010716573200370672,0.011333333333333334
3000,150,7,0.006682251288947727,0.008333333333333333
3000,150,8,0.0010145872911367926,0.009666666666666667
3000,150,9,-0.009318173950892905,0.009333333333333334
3000,150,10,0.00402342953184498,0.011333333333333334
3000,150,11,0.01523867892383568,0.012666666666666666
3000,150,12,0.012756465144860507,0.009333333333333334
3000,150,13,-0.006918953722099386,0.010333333333333333
3000,150,14,0.00575775688830249,0.012666666666666666
3000,150,15,0.006083663475441092,0.01
3000,150,16,0.026702983038578765,0.014
3000,150,17,-0.003240497592510827,0.007666666666666666
3000,150,18,-0.003436235879079319,0.01
3000,150,19,0.0004851032614175965,0.008
3000,150,20,0.02459266275129135,0.013
3000,150,21,-0.014916167371198052,0.007666666666666666
3000,150,22,-0.016200149917809104,0.011333333333333334
3000,150,23,0.004956396964985621,0.009666666666666667
5000,150,0,0.01614759773557717,0.0122
5000,150,1,9.257440871324185e-06,0.013
5000,150,2,0.00264781406424619,0.0082
5000,150,3,-0.00886371869349456,0.0082
5000,150,4,0.005306729596101789,0.0084
5000,150,5,-0.006893867533762477,0.009
5000,150,6,0.008690796619860941,0.0096
5000,150,7,-0.009215225937217075,0.01
5000,150,8,-0.0061513402427378905,0.0078
5000,150,9,0.004780736698765664,0.0104
5000,150,10,0.0035246066296228395,0.013
5000,150,11,0.016808060726491325,0.0096
5000,150,12,-0.0011217154444984612,0.0102
5000,150,13,-0.008942863332151774,0.009
5000,150,14,0.005198466058594309,0.0108
5000,150,15,-0.0006028536121138739,0.01
5000,150,16,0.008856284404113457,0.0124
5000,150,17,-0.006716887030038532,0.0106
5000,150,18,0.00754048586617817,0.011
5000,150,19,0.012200604106818447,0.0112
5000,150,20,0.006725041898540951,0.0076
5000,150,21,0.011619410863521917,0.0096
5000,150,22,0.0029285668616282345,0.0112
5000,150,23,-0.0038931538060665294,0.0074
8000,150,0,0.00950076657138954,0.01
8000,150,1,0.001906903209983879,0.01125
8000,150,2,0.01019136412280952,0.01125
8000,150,3,-0.002950544264900712,0.009375
8000,150,4,0.01670108571268747,0.0115
8000,150,5,0.004727514866834315,0.01
8000,150,6,0.006657228333347476,0.009875
8000,150,7,0.0042036486389587235,0.008625
8000,150,8,0.005393102171358688,0.00775
8000,150,9,0.0040707607274166335,0.00975
8000,150,10,-0.0035229586696146065,0.01025
8000,150,11,-0.0013199828807488045,0.0075
8000,150,12,-0.003120600434740106,0.01125
8000,150,13,0.0010889652537471317,0.009125
8000,150,14,0.0017682109965857506,0.010375
8000,150,15,0.005262575604251585,0.01
8000,150,16,0.00326047962854914,0.00925
8000,150,17,0.007848395969385025,0.009625
8000,150,18,0.0039061454758879677,0.01
8000,150,19,0.002211692516078556,0.009
8000,150,20,0.008751820107415265,0.01
8000,150,21,0.007093666294024525,0.0105
8000,150,22,0.0040309605216606315,0.00975
8000,150,23,0.006099116491198653,0.01025
