file_name,n_neurons,experiment_name,time_windows,frequency,date,subject,region,species,experiment_type,investigator
MM_20220228_secondsite.pickle,140,2nd site 2 Hz_2022-02-28_17-48-17,"[[134.90673333333334, 223.40586666666667]]",2,"['20220228', 'secondsite']",V649♀,NCM,zebra finch,mag,DJP
MM_20220228_secondsite.pickle,140,2nd site 5 Hz_2022-02-28_17-50-52,"[[278.9171666666667, 343.91706666666664]]",5,"['20220228', 'secondsite']",V649♀,NCM,zebra finch,mag,DJP
MM_20220228_secondsite.pickle,140,2nd site 10 Hz_2022-02-28_17-53-18,"[[381.383, 414.38196666666664]]",10,"['20220228', 'secondsite']",V649♀,NCM,zebra finch,mag,DJP
MM_20220228_secondsite.pickle,140,2nd site 1 Hz_2022-02-28_17-54-46,"[[446.5148, 524.5150333333333]]",1,"['20220228', 'secondsite']",V649♀,NCM,zebra finch,mag,DJP
MM_20220228_firstsite.pickle,67,5Hz_2022-02-28_16-06-03,"[[117.2376, 170.8399]]",5,['20220228'],V649♀,NCM,zebra finch,mag,DJP
MM_20220228_firstsite.pickle,67,10 Hz_2022-02-28_16-21-40,"[[209.7203, 274.2230333333333]]",10,['20220228'],V649♀,NCM,zebra finch,mag,DJP
MM_20220228_firstsite.pickle,67,2 Hz_2022-02-28_16-25-47,"[[328.8917, 394.3933666666667]]",2,['20220228'],V649♀,NCM,zebra finch,mag,DJP
MM_20230415.pickle,494,2023-04-15_15-56-12_W1R_mag2,"[[38.15496666666667, 89.65633333333334]]",2,['20230415'],W1R (Roca),Centromedial part of craniotomy,Pigeon,mag,DJP
MM_20230415.pickle,494,2023-04-15_16-06-20_W1R_mag2_inclined,"[[486.8865333333333, 547.8882666666667]]",2,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,mag,DJP
MM_20230415.pickle,494,2023-04-15_15-57-55_W1R_mag3,"[[120.7887, 180.79046666666667]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,mag,DJP
MM_20230415.pickle,494,2023-04-15_16-03-43_W1R_mag3_inclined,"[[393.8961, 453.2308]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,mag,DJP
MM_20230415.pickle,494,2023-04-15_15-59-40_W1R_mag8,"[[211.43563333333333, 271.18533333333335]]",8,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,mag,DJP
MM_20230415.pickle,494,2023-04-15_16-01-59_W1R_mag8_inclined,"[[301.9055666666667, 362.7804]]",8,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,mag,DJP
MM_20230415.pickle,494,2023-04-15_16-37-23_W1R_3D_WN_Samechan,"[[2267.428430573885, 2567.428430573885]]",0.8,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz0,"[[579.5368679597414, 641.5365996533333]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz45,"[[646.8868436646004, 713.2367727121242]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz270,"[[718.5530207425182, 784.9039664867026]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz90,"[[790.2366332133813, 856.5701325534892]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz225,"[[861.9043757381856, 928.2541414434227]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz180,"[[933.5865459108179, 999.9044144504433]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz135,"[[1005.2376632740119, 1071.5877347261096]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-08-19_W1R_visual_3Hz315,"[[1076.9038070185964, 1143.2547642471507]]",3,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-19-13_W1R_visual_2Hz45,"[[1215.2744792374858, 1310.7587008]]",2,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
MM_20230415.pickle,494,2023-04-15_16-19-13_W1R_visual_2Hz0,"[[1316.2589242618144, 1415.7593333333334]]",2,['20230415'],W1R (Roca),"Approximately Septal HP, posterocentralsection of craniotomy",Pigeon,positive control,DJP
